FID,IID,SOL,C1,C2,C3,C4
YRI,55,0,-0.0940259,0.0223928,0.000493585,-0.0261999
YRI,56,0,-0.0952174,0.0223857,0.000402811,-0.024505
YRI,58,0,-0.0946048,0.022095,0.000225749,-0.0267271
YRI,60,0,-0.0932085,0.0236881,0.0027033,-0.0282823
YRI,62,0,-0.0919163,0.02275,0.00236355,-0.0271203
YRI,63,0,-0.0922616,0.022388,0.00180968,-0.0264418
YRI,67,0,-0.094965,0.0218514,0.00143889,-0.0277053
YRI,68,0,-0.0943574,0.0225714,0.00123356,-0.025398
YRI,69,0,-0.0947991,0.0234541,0.0022919,-0.0252982
YRI,71,0,-0.0955613,0.0226156,0.00171877,-0.026037
YRI,72,0,-0.0932443,0.0234235,0.00233935,-0.0281732
YRI,73,0,-0.092342,0.0243075,0.000481011,-0.028404
YRI,75,0,-0.0941261,0.0218114,0.00244828,-0.0254629
YRI,76,0,-0.092954,0.0219645,0.00209788,-0.0275284
YRI,77,0,-0.0919217,0.0208176,-0.000403819,-0.0237887
YRI,79,0,-0.0931446,0.0209343,-0.000307073,-0.026733
YRI,81,0,-0.0929496,0.0235079,0.00150686,-0.026967
YRI,82,0,-0.0929891,0.0221108,0.00216467,-0.0235376
YRI,83,0,-0.0936299,0.0221367,0.00067678,-0.0269455
YRI,84,0,-0.0939675,0.0232625,0.00173336,-0.0268127
YRI,85,0,-0.0935157,0.0217959,0.00150775,-0.0265179
YRI,86,0,-0.0937933,0.0234613,0.00128893,-0.0237021
YRI,87,0,-0.0966098,0.0219698,-0.000162212,-0.0270575
YRI,90,0,-0.0947462,0.0237795,0.000792928,-0.0276486
YRI,91,0,-0.0941703,0.0229058,0.00236327,-0.0248113
YRI,92,0,-0.0941684,0.0215152,0.00193474,-0.0258154
YRI,93,0,-0.0940933,0.022536,0.000359286,-0.0283465
YRI,95,0,-0.0928246,0.02431,0.000987403,-0.0243441
YRI,97,0,-0.0937671,0.0229815,0.00274468,-0.0247787
YRI,98,0,-0.095622,0.021996,-0.00010842,-0.0268283
YRI,99,0,-0.0940139,0.0239176,0.00286612,-0.0271725
YRI,100,0,-0.093718,0.0230857,-0.00141825,-0.0251747
YRI,102,0,-0.0943425,0.0233776,0.00162904,-0.0253331
YRI,103,0,-0.0925131,0.0232097,0.00136874,-0.0264016
YRI,104,0,-0.0943413,0.021997,0.00222234,-0.0264769
YRI,105,0,-0.0942137,0.0230552,0.00267648,-0.027189
YRI,106,0,-0.0961293,0.0226725,-0.00108164,-0.0264364
YRI,107,0,-0.0936989,0.0226851,0.0010983,-0.0283468
YRI,108,0,-0.0930835,0.0220349,-0.000630315,-0.0255858
